NameKlinik,Titel,DatumBewertung,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,QualitätBeratung,MedizBehandlung,VerwaltungAblaeufe
Klinik Am Zuckerberg,Gelungene OP-hier gibt es keinen Standesdünkel,14.12.2016,Chirurgie,"Nach Jahren des Leidens wegen Hämorrhoiden begab ich mich Mitte November zur Untersuchung in die Hände von Dr. Schofeld. Dieser riet mir zu einer OP unter Vollnarkose mit der sog. HAL/RAR-Technik.
Einen Tag nach der Untersuchung wurde ich angerufen und ein Termin mit mir vereinbart. Ich hätte schon 1 Woche später operiert werden können, musste den Termin aber um 2 Wochen verschieben.
Nun wurde ich am Montag,12.12 um 9.10Uhr von Dr. Schofeld operiert.
Die OP verlief gut und ich konnte am nächsten Morgen nach einer Untersuchung und einem Abschlussgespräch durch Dr. Schofeld die Klinik verlassen.
Alle in dieser Klinik sind super nett. Angefangen von den Damen am Empfang, Herr Dr. Schofeld ist ein sehr netter Arzt, die Dame der Terminvergabe super freundlich, Schwester Judith , Schwester Aileen, Schwester Kathrin,Schwester Justina, Schwester Stefanie und Kevin v Aufwachraum waren alle sehr freundlich, hilfsbereit und immer erreichbar. Dr. Eberlein hatte muntere Sprüche wegen der Narkose. Rundum war es eine gute Idee die OP in der Klinik zu machen. Die Klinik ist tatsächlich wie ein Hotel, dort wird einem das Essen serviert und wieder abgeräumt mit einem Lächeln und nettem Smalltalk.
Hier fühlt man sich wie ein Privatpatient.
Ich hätte diese lästigen Dinger schon längst wegmachen lassen sollen, wenn ich gewusst hätte wie angenehm das ist. Habe fast gar keine Schmerzen, blutet gar nicht und nichts stört mehr.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Perfekte Betreuung,27.10.2016,Gefäßchirurgie,"Perfekte Rundumbetreuung. Die Klinik ist wie ein Hotel. Man kommt sich sehr gut aufgehoben vor und nicht wie eine weitere ""Nummer"", wie meist in Krankenhäusern.
Aber hervorzuheben ist mein Arzt. Nach so einem stressigen Tag (ich hatte das Gefühl, dass er den kompletten Tag zur Verfügung stand und bei einem war), immer noch so freundlich und zuvorkommend zu sein. Ein riesen Lob!
Ich komme immer wieder gerne und empfehle die Klinik weiter.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Fast wie ein Hotel,19.10.2016,Gefäßchirurgie,"Die Klinik am Zuckerberg ist geprägt von der hohen Präsenz und Erfahrung ihres Chefarztes. Dieser schafft Vertrauen in seine Person
und Fachkompetenz. Auch bei den Schwestern habe Ich nicht einemal das
Gefühl gehabt, das ihr Beruf sehr anstrengend ist.
Alles in allem kann ich die Klink nur empfehlen.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Tolle Klinik,13.09.2016,Gefäßchirurgie,"Ich war im August 2016 in der Klinik zwecks Krampfaderentfernung am Oberschenkel. Ich fühlte mich von Anfang an sehr gut aufgehoben, das Personal war sehr kompetent und äußerst freundlich! Auch das Zimmer nach der Operation ähnelte mehr einem Hotelzimmer mit super- Service! Insgesamt: Bewertung sehr sehr gut! Auch der Chefarzt Dr van der Driesch ist sehr einfühlsam nimmt sich Zeit und ist dabei noch sehr freundlich! Weiter so- eine gute Empfehlung im Bekanntenkreis ist ihnen sicher!!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Klinik mit Nivevau,21.06.2016,Gefäßchirurgie,"Ich war im Juni 2016 als Patientin in der Zuckerbergklinik Braunschweig.
Von Anfang an fühlte ich mich dort sehr gut aufgehoben .
Die Terminvergabe erfolgte zügig und in der Anmeldung kam mir eine sehr nette Atmosphäre entgegen.
Sowohl die Klinik, als auch das Personal macht einen äußerst anspruchsvollen Eindruck.
Ich fühlte mich zeitweise wie im Sanatorium.
Auch meine OP verlief gut und ich möchte die Klinik jedem empfehlen, der
solch eine OP vornehmen muß. Auch der Chefarzt, der jeden Tag zu mir kam,
Ist sehr kompetent und menschlich. Ich bekam auf alle meine Fragen eine Antwort.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Großes Lob,23.04.2016,Gefäßchirurgie,"Eine tolle Klinik geprägt durch einen äußerst einfühlsamen Chefarzt. Ich wurde vor ca. 2 Monaten in der Klinik am Zuckerberg an Krampfadern operiert. Die Angst wurde mir von der ersten Sekunde an durch meinen Arzt genommen. Ich hatte nach der Operation keinerlei Beschwerden. Obwohl ich gelasert wurde, waren allerkleinste Schnitte notwendig, um die Seitenäste zu entfernen. Die Wunden sind ganz schnell abgeheilt und kaum noch zu erkennen, so dass ich bereits mein zweites Bein operieren ließ. Auch hier gab es keinerlei Probleme und ich hörte von anderen Patienten nur allerhöchstes Lob über diesen Arzt. Diese Klinik ist in jeder Hinsicht zu empfehlen, ich kenne keinen besseren Chefarzt und keine bessere Klinik.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Krampfaderentfernung mit anschließendem Klinikaufenthalt,04.04.2016,Gefäßchirurgie,"Mir wurde die Zuckerbergweg Klinik von mehreren Bekannten empfohlen, die sich Krampfadern Entfernungen oder anderen Kosmetischen OP unterzogen haben. Daraufhin habe ich in der Klinik angerufen und um einen Termin gebeten. Der Termin war schnell und sehr Zeitnah gefunden. Es fing bei der Terminvergabe mit einer sehr freundlichen Dame an der Anmeldung an und ging bis zu den Schwestern und Ärzten so weiter. Kann jeden nur empfehlen der eine OP mit anschließenden Aufenthalt vor sich hat, sich dort Operieren zu lassen. Und ich war Kassenpatient was in der heutigen Zeit ja schon ein großes Manko ist. Da ich nicht weiß wie Privatpatienten behandelt werden, kann ich als Kassenpatient nur sagen ich war sehr gut aufgehoben.
Mit freundlichen Gruß
Klaus Ahrens",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Sehr Zufrieden,26.02.2016,Plastische Chirurgie,"Hatte eine Bauchdeckenstraffung bei Dr.Flieder.
Toller Arzt , Tolles Ergebnis",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Herausragend,15.02.2016,Gefäßchirurgie,"Eine sehr sehr angenehme Klinik!
Zimmer ähneln eher einem Hotel als einem Krankenhaus. Ebenso das Restaurant.
Mitarbeiter sind ausnahmslos kompetent, freundlich und hilfsbereit. Ein besonderes Lob an die Küche!
Die ärztliche Versorgung war ebenfalls herausragend.
Somit resultiere ich: Sehr empfehlenswert!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Chefarzt - ein genialer Arzt,09.02.2016,Gefäßchirurgie,"Der Chefarzt genießt in der Region mittlerweile solch einen Ruf, einen Bekanntheitsgrad und ein Ansehen, dass ein weiteres Lob eigentlich gar nicht nötig wäre. Ich selbst bin aber so begeistert, dass ich ihn anderen Patienten wärmstens empfehlen kann. Er ist sehr nett und fürsorglich, nimmt einem mit seiner ausgeglichenen und ruhigen Art jegliche Angst vor der Operation, nimmt sich auch sehr viel Zeit seine Patienten mit verständlichen Worten aufzuklären und die verschiedenen Operationsmöglichkeiten zu erläutern. Einfach ein Arzt, den die Patienten lieben. Im Wartezimmer hört man nur Bestes über seine medizinischen Ergebnisse und alle Patienten sind begeistert. Danke.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Verwachsungen die 3. !!,05.01.2016,Chirurgie,"Leider steht nun wieder eine ""Verwachsungs-OP"" an, die ich jedoch ausschließlich von Herrn Dr. Kruschinski machen lasse. An meinen Bauch kommt mir kein anderer Chirurg, wenn es um Verwachsungen geht !!
Bereits 2 mal bin ich von Dr. Kruschinski operiert worden. Dieser Arzt ist sicher das beste, was einem Patienten passieren kann. Gaslose OP und SprayShield als Prophylaxe sind einfach ein MUSS bei solchen OP`s !! Leider musste ich Mitte 2014 in Berlin 2 sehr aufwendige und große OP`s am Zwerchfell über mich ergehen lassen (komplette Neurekonstruktion), die zwar gut verlaufen sind und das Ergebnis an sich einwandfrei ist- aber leider wieder mit Gas und ohne SprayShield Prophylaxe !! Was soll ich sagen: ich habe nun (1,5 Jahre später) wieder massive Verwachsungsschmerzen und Probleme, die von Woche zu Woche schlimmer werden. Daher werde ich Dr. Kruschinski wieder aufsuchen, damit er mich erneut von meinen Qualen befreit ! Ich kann mich leider kaum noch rühren vor Schmerzen und kann sagen, dass ich mich noch nie auf eine OP gefreut habe- aber diesmal schon ! Ich habe allergrößtes Vertrauen in diesen Arzt und kann jedem nur empfehlen sich in seine ""hochbegabten"" Hände zu begeben.
Als ich dieses Problem vor kurzem einem Heidelberger Chirurgen erläuterte bekam ich nur zur Antwort: SprayShield ? Alles Blödsinn ! Gaslos ? Alles Blödsinn ! Nach kurzem ""Wackeln"" an meiner Bauchdecke der Kommentar: Sie haben keine Verwachsungen !
Einfach unglaublich, was manche Mediziner so von sich geben !!


Wir sehen uns Herr Dr. Kruschinski- ich baue auf Sie wie auch schon zuvor !

Herzlichst
C. Mohr",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Ein Chirurg mit Herz für seine Patienten,16.12.2015,Gefäßchirurgie,"Ein Chirurg 'der alten Schule' mit größtem Fachwissen und Können, Herz und Verständnis für seine Patienten, der sich immer für alle Zeit nimmt. Sitzt man im Wartezimmer, so hört man nur das größte Lob über diesen Arzt.
Ich selbst war Marcumar-Patient, auch für mich gab es keinerlei Schwierigkeiten bei der Vorbereitung der Operation, der Operation selbst sowie der Nachbehandlung. Ich war bereits mehrfach stationär in Behandlung und komme immer wieder gerne aus Hannover zu ihm. Ich werde ihn ehrlichen Herzens gerne weiter empfehlen.
Hannover",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Tolle Klinik !!!,11.11.2015,Gefäßchirurgie,"Ich war Patientin der Klinik am Zuckerberg im September 2015. Auf diesem Wege möchte ich mich bedanken für den angenehmen und stressfreien Aufenthalt.
Als Gesetzlichversicherte wurde ich als privat Patientin behandelt und so fühlte ich mich auch. Herr Dr. van den Driesch ist sehr freundlich, kompetent und nimmt sich viel Zeit für die Patienten.
Das Personal war immer freundlich und zuvorkommend.
Zimmern und Essen war auf Hotelniveau.
Sollte ich jemals wieder mit Krampfadern Probleme bekommen (was ich nicht hoffe) werde ich auf jeden Fall diese Klinik wieder auswählen.

Vielen Dank an Herrn Dr. van den Driesch und seinem Team.

Bartel Agnieszka aus Wolfsburg",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Ausgezeichnete Behandlung,16.10.2015,Gefäßchirurgie,"Ich habe es in meinem langen Leben (stolze 91 Jahre) noch nie erlebt, dass sich ein Arzt mit so viel Zeit und Freundlichkeit für seine Patienten einsetzt. Der Chefarzt ist nicht nur täglich weit nach Dienstschluss für seine Patienten da, sondern auch an den Wochenenden und jederzeit bei Notfällen.

Die Klinik ist geprägt durch den Ruf und das Können dieses Arztes und ich selbst bin sehr zufrieden. Sogar in meinem Alter war eine Operation in lokaler Betäubung ohne Probleme möglich.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,großes Vertrauen zu Chefarzt gefasst,01.07.2015,Gefäßchirurgie,"Ich war bereits mehrfach Patientin der Klinik am Zuckerberg und habe bei meinen ersten Aufenthalt großes Vertrauen zu dem Chefarzt gefasst, weshalb ich extra einen weiten Weg aufmich nehme und nur hierher zur Behandlung komme. Diesmal kam ich mit einer erneuten Wundrose in die Klinik. Ich bekam wieder mein Schönes Zimmr mit Blick auf den herrlichen Park. auch das Essen war wieder sehr gut. Der Arzt hat jahrelange Erfahrung mit Behandlung und Pflege offener Beine und Wundrosen. Auch diesmal ist durch die kompetente Betreuung und liebevolle Pflege durch Arzt und seinen Schwestern die Wundrose rasch abgeklungen.

aus Dardesheim",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Behandlung und Unterbringung wie auf dem Traumschiff,29.06.2015,Gefäßchirurgie,"Ich wurde bereits zum zweiten Mal bei dem Chefarzt in der Klinik am Zuckerberg zu meiner vollsten Zufeiedenheit an Krampfadern operiert. Die Vorausgehende Aufklärung war sehr ausführlich und verständlich, so dass man sehr schnell Vertrauen fasst. Er nimmt sich immer sehr viel Zeit für seine Patienten, ist ein äußerst erfahrener und kompetenter Arzt, ist auch nach der Operation jederzeit gut gelaunt und für seine Patienten ansprechbar und auch am Wochenende erreichbar.
Bei meiner ersten Operation konnte eine Laserbehandlung nicht durchgeführt werden. Die Schnitte waren extrem klein, ich hatte nach der Operation keinerlei Schmerzen und fühlte mich in der Klinik wieder sehr gut aufgehoben. Mitlerweiele ist kaum noch etwas von der ersten Operation zu erkennen, die Schnitte sind für das bloße Auge kaum sichtbar verheilt und ich bin begeistert von dem kosmetischen Ergebnis. Diesmal wurde ich am anderen Bein gelasert und die geschlängelten Krampfadern wieder über allerkleinste Schnitte entfernt.
Auch diesmal kann ich nur das höchste Lob ausstellen.
Die Patientenzimmer haben Hotelcharakter und das Essen ist überdurchschnittlich.
Ein ganz besonderer Dank gebürt dem Koch und seinem Team. der wunderbare Park der Klinik hilft bei der schnellen Genesung. Die freundliche Atmosphäre der Klinik trägt dazu bei. das man jederzeit, auch zu Nachkontrollen, gerne wiederkommt.
Ich wünsche diesem Arzt und seinem Team weiterhin viel Erfolg.
Macht weiter so!!!!!!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Danke!!!,24.06.2015,Gefäßchirurgie,"Ich kenne den Chefarzt der Klinik Am Zuckerberg von einer Venenoperation (Laserbehandlung) aus dem Jahr 2014. Damals hatte mir der Arzt gesagt, dass er Gefäßchirurg sei und ich mich jederzeit auch bei einem anderen Gefäßproblem bei ihm melden könne und dann einen sofortigen Termin erhalten würde.
Und jetzt war es soweit. Bei meinem diesjährigen Urlaub auf Kreta stellte man in einer dortigen Privatklinik nach einer langen, sehr anstrengenden Wanderung bei starker Hitze eine tiefe Beinvenenthrombose des gesamten Beines fest. Ich wurde dort eine Woche behandelt. Noch während meines Klinikaufenthaltes nahm ich mit meinem Arzt telefonisch Kontakt auf, um die weitere Behandlung bei ihm zu vereinbaren. Er hat mich wieder einmal äußerst freundlich, kompetent und sehr ausführlich über das Krankheitsbild informiert und beraten und zu meiner Beruhigung beigetragen. Nach meiner Rückkehr wurde ich unverzüglich von ihm ausgiebig untersucht und nochmals beraten. Anschließend erfolgte eine Therapie nach den neuesten Standard, die mich wieder sehr zufrieden stellte. Der Chefarzt ist fast immer, auch am Wochenende und nach Feierabend, für seine Patienten zu erreichen und ich kann durch meine eigene äußerst positive Erfahrung eine Behandlung bei ihm nur weiter empfehlen.
- Blankenburg",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,sehr zufrieden,13.06.2015,Gefäßchirurgie,"Das kompetente Fachwissen des Chefarztes als Chirurg und Betreuungsarzt, seine Fähigkeiten, seine Ausdauer sowie seinen Einsatz am Tag, in der Nacht und am Wochenende haben mich sehr beeindruckt. Er hat sich nicht nur mein Vertrauen sondern auch meinen absoluten Respekt verdient.

Ich erinnere mich an den Samstagnachmittag, den 31.01.2015, an dem ich mit Schmerzen und ohne Voranmeldung in die Klinik gekommen bin. Nach einem Gespräch mit einer sehr höflichen und kompetenten Mitarbeiterin, ist der Chefarzt extra und unverzüglich in die Klinik gekommen, um mich zu versorgen. Hervorheben möchte ich hier, dass dies in seiner Freizeit geschah. Dafür bedanke ich mich recht herzlich!

Die OP am 07.02.2015 mit vielen kleinen Schnitten, hat mir sehr viel Freude bereitet, da sie absolut schmerzfrei ablief und kaum Wunden zu erkennen waren.

Die positiven Erfahrungen, die ich mit dem Chefarzt und seinem kompetenten Team erlebt habe, werde ich natürlich weiter verbreiten und persönlich für Sie werben!

Ich wünsche der gesamten Belegschaft der Klinik am Zuckerberg alles Gute für ihre Zukunft. Machen Sie weiter so!

Mit freundlichen Grüßen",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Super Klinik,16.05.2015,Orthopädie,"Ich wurde an der schulter operiert u kann nur sagen ich wurde von anfang bis ende super betreut Arzt ,Schwestern Pfleger alle super freundlich man fühlte sich dort nicht allein gelassen.


Lieben Dank dafür",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Danke Dr.Kruschinski
Diese Bewertung geht nicht in die Gesamtbewertung ein",04.12.2013,Chirurgie,"Nach einigen Bauch OP `s hatte ich massive Verwachsungen mit immer wiederkehrenden Unterbauchkrämpfen und Klinikseinweisungen.
Von einer Freundin erfuhr ich von der OP Methode
Dr.Kruschinskis, stellte mich vor und entschied mich für diese OP.
Ich bin seitdem beschwerdefrei!!!
Der Aufenthalt in dieser Klinik war einfach genial:
Unterkunft,Personal,alles war zu meiner vollsten Zufriedenheit.
Dr.Kruschinski kann und werde ich nur weiterempfehlen",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Ein anderer Stern....
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.05.2011,Frauen,"Ich bin am 17.4.2011 als Patientin von Dr. Kruchinski angereist.Ich war mehr als angenehm überrascht von dem Aufenthalt in dieser Klinik.Die gesamte Atmosphäre trägt zum Wohlbefinden bei und einer echten Genesung und Erholung.Ein Paradebeispiel wie absolutes hevorragendes med. Können kombiniert wird mit fachlich einwandfreier Pflege und kulinarischer Hochgenuß!!!Ich wäre Herrn Dr. Kruschinski sonstwohin hinterher gereist, um von ihm operiert zu werden, aber das ich in ein Krankenhausparadies eintreffen würde, davon habe ich nichts geahnt. Sehr gefallen hat mir dort der Umgangston und das kollegiale Verhalten der Schwestern , dem Personal für Reinigung und dem Angestellten des Restaurantbereichs. Respekt für die erbrachten Leistungen. Das ich als Vollallergikerin erleben durfte, dass alle informiert waren und sehr genau darauf geachtet haben, was nicht so gut für mich ist....habe ich so noch nie erlebt.Das sogar Reinigungskräfte überlegen, ob die Art der Reinigung für mich Beschwerden fördern könnte und sich mit mir absprechen war für mich sehr positiv überraschend.Ich war echt auf einem anderen Stern und das als normale Kassenpatientin. Danke allen die an meiner Genesung beteiligt waren. Wer unter Endometriose leidet , sollte hier unbedingt hin und Verwachsungen oder Gebärmuttetentfernungen ohne Bauchschnitt sind hier wirklich außerordentlich empfehlenswert!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Venen
Diese Bewertung geht nicht in die Gesamtbewertung ein",24.03.2011,Gefäßchirurgie,"Hallo, bis jetzt bin ich zufrieden. Ich hoffe auf einen erfolgreichen
Abschluss der Behandlung. Am Anfang hatte ich auch Angst, aber das hat sich im laufe der Zeit gelegt.
Bei Problemen steht einem das Klinikpersonal zur Verfügung, sehr nett.",star-4,star-6,star-4,star-4
Klinik Am Zuckerberg,"geht so nicht
Diese Bewertung geht nicht in die Gesamtbewertung ein",06.01.2011,Orthopädie,"Hier spricht überhaupt nichts positives für die Klinik. Mein Mann leidet seit 8 Wochen an einem extrem zertrümmerten Unterschenkel, 6 Op schon hinter sich und keine Besserung in Sicht. Wir sind nun auf der Suche nach einer guten Klinik für Orthopädie, Unfallchirurgie und Plastische Chirurgie. Er wollte gern in die Klinik am Zuckerberg wechseln , da diese ja angeblich bestens dafür ausgestattet ist. Leider musste mein Mann sich heute anhören, das es hier keine Orthopäden und Chirurgen gäbe und wurde alles andere als menschlich behandelt. Ich bin fassungslos! Die Klinik sollte ihre Homepage nochmals überarbeiten und vielleicht den Hinweis geben ""Patienten sind hier nicht willkommen"" oder ihr weibliches Personal in der Aufnahme einer Qualitätsprüfung unterziehen. Mir fehlen einfach die Worte... ein absolutes NO GO!!!",star-0,star-0,star-0,star-0
Klinik Am Zuckerberg,"Danke an Dr Kruschinski und sein Team
Diese Bewertung geht nicht in die Gesamtbewertung ein",06.12.2010,Frauen,"Das war mit Abstand der ""schönste"" Klinikaufenthalt in meinem Leben. Ehrlich. Nicht gefaked. Alle mit denen ich dort zu tun hatte, haben sich sehr um mich bemüht, und mir fast jeden Wunsch erfüllt.
Die Operation (Gebärmutterentfernung mit vielen großen Myomen) der ich mich unterziehen musste, hatte ich lange herausgeschoben, und ich befürchte, dass ich in manchen anderen Kliniken nicht ohne einen größeren Bauchschnitt davon gekommen wäre. Ich bin sehr froh, dass mir das in Braunschweig nicht passiert ist, und möchte die Klinik und Dr Kruschinski sehr gerne weiter empfehlen.
Der weite Weg hat sich für mich absolut gelohnt.
Möchte auch an der Stelle noch gerne den Narkosearzt Dr Nietzold positiv erwähnen. Das war die erste Narkose, nach der ich mich nicht übergeben habe. Genial.",star-6,star-4,star-6,star-6
Klinik Am Zuckerberg,"Man fühlt sich gut betreut!
Diese Bewertung geht nicht in die Gesamtbewertung ein",26.09.2010,Plastische Chirurgie,"Ich wurde am 22.09.10 dort operiert und kann nur gutes berichten.Von den Ärzten und dem Pflegepersonal wurde ich sehr gut betreut.
Ich würde mich jederzeit wieder dort behandeln lassen.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"eher wie ein Sanatorium
Diese Bewertung geht nicht in die Gesamtbewertung ein",27.06.2010,Frauen,"Mein Aufenthalt in der Zuckerberg-Klinik war nicht der, den ich von einem Krankenhaus erwartet hätte.
Ich bekam jede gewünschte Information umgehend, wurde sowohl von Dr. Kruschinski als auch von ALLEN Schwestern (und Pflegern) und dem Reinigungs- und Verpflegungsteam äußerst zuvorkommend behandelt.
Die Umgebung ist so schön (Restaurant, Außenterrasse), dass ich gerne besucht worden bin.
Ich werde diese Klinik gerne weiterempfehlen.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Ehemalige Patientin
Diese Bewertung geht nicht in die Gesamtbewertung ein",21.03.2010,Haut/Geschl-Heilkunde,"Laserentfernung - NICHT hier hin!

Ich wollte mir ein Tatto entfernen lassen. ""Alles kein Problem, wir machen eine Probebehandlung - nur eine kleine Stelle, um zu sehen, wir Ihre Haut reagiert"", haben die Ärzte mich beraten. Es waren Dermatologen. Leider war diese kleine 1cm x 5mm große Stelle knallrot und noch restliches Pigment enthalten. Trotzdem kamen drei weitere ""Probelaserungen"" zu teurerem Preis hinzu! Nachdem ich dann fragte, ob diese Proben nun nicht zeigten, dass man einen anderen Laser ausprobieren müsse, da die roten Stellen auch nach einem halben Jahr nur intensiver wurden, sollte nochmals ""Probegelasert"" werden. Also insgesamt vier MINI-Behandlungen, für trotzdem mehr als 80 Euro für max. 1cm2-Fläche. Für mich waren das keine Dermatologen, sondern Geldabschneider!

Ich habe nun einen Hautarzt in Hannover gefunden. Dieser hat neuere Laser, auch unterschiedliche, denn alle anderen Ärzte verlfuchten natürlich den ""anderen"" Laser (Yag oder Rubin) und schwörten nur auf ihren eigenen. Die Preise sind nach einer Tabelle der privaten Versicherungen gestaffelt und nach EINER Probelaserung wurde gleich das gesamte Tattoo behandelt, für ca. 120 Euro.

Fazit - Klinik am Zuckerberg will, dass man oft für kleine Behandlungen erscheint und somit viel Geld lässt, allerdings nicht glückliche Patienten. So ist zumindest mein Gefühl gewesen.",star-0,star-0,star-0,star-4
Klinik Am Zuckerberg,"eine Klinik mit Wellness und Hotelcharakter
Diese Bewertung geht nicht in die Gesamtbewertung ein",07.10.2009,Frauen,"Es ist wie Wellness. Zimmer sehr schön und schauen wie im Hotel aus. Alle Schwestern, Servicepersonal, Putzfrauen sehr sehr nett. Das ist ein Ort wo man sich wirklich erholen kann. Ich war 14 Tage, es wurde sogar für mich gewaschen (Wäsche), da ich nur mit 7 Tagen rechnete und ich über 650 km von zuhause weg war. Jeder noch so lange Weg lohnt sich für dieses Vorbildliche Krankenhaus, und für diesen wunderbaren Arzt Dr. Kruschinski! Kein anderer Arzt darf an meinen Bauch! Da sollte sich jedes KH und jeder Arzt mal ein Scheibchen abschneiden - da würde es den Patienten viel schneller besser gehen!
Liebe Ärzte liebe Schwestern liebe Servicekräfte etc. macht weiter so, ihr seit spitze
Wirklich hervorragend von A-Z und das ist keine Übertreibung!!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Hämorrhoiden OP
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.10.2009,Gastrologie,"Ich bin im März 2009 von Dipl.Med. Heß wegen eines Hämorrhoidenleidens behandelt worden und kann muss diese Klinik samt Ärzteschaft einfach weiterempfehlen.
Es ist nach der neuen HAL/RAR Methode behandelt worden und das Ergebnis des Eingriffes war bombig gut. Keine Schmerzen, keine Blutungen und vorallem kein schneiden und nähen.
Da ich selbst Krankenpfleger bin weiß ich wie sehr man als Patient auf gewiße Dinge speziell achtet. Die Klinik am Zuckerberg kann ich deshalb für sämtliche Eingriffe bestens empfehlen. Das ist keine Klinik im herkömmlichen Sinne. Hier nimmt man sich Zeit für den Patienten und holt die besten Ergebnisse aus den Behandlungen heraus.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Super Artzt.der Dr.Zubachek
Diese Bewertung geht nicht in die Gesamtbewertung ein",19.08.2009,Strahlentherapie,"Hallo, ich bin in der abteilung Lasertherapie ""aesthetic management""bei den Dr. Sergey Zubachek.Ich lasse grade meine Tätowierung weglässern.Habe bis jetz 4 mal (2 auf jeder seite,da ich auf jeden Arm eine habe), mich Lässern lassen und ich sehe kaum noch was.Habe keine einzige Narbe.Ich kann denn Dr. nur enfehlen.der ist spitze.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Klaus Weschki
Diese Bewertung geht nicht in die Gesamtbewertung ein",16.08.2009,Gefäßchirurgie,"Meine Frau wurde im August 2009 an einem Krampfaderleiden operiert. Sie ist mit dem OP-Personal, den Ärzten, den Schwestern, der Rezeption, der Gastronomie, dem Reinigungspersonal sehr zufrieden. Alle arbeiten harmonisch zusammen. Man fühlt nicht, dass man in einer Klinik ist sondern eher in einem Hotel. Für den Patienten ist die Klinik eine Oase, was dem Heilungsprozess förderlich ist. Dort weilt man gerne, was man von anderen Kliniken in der Umgebung nicht sagen kann.
Danke noch einmal an alle Mitarbeiter der Klinik.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"2 OP°s schon gehabt am selben Bein
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.07.2009,Gefäßchirurgie,"Ich hatte 2 OP°s am Bein...beides mal mit Leistenschnitt /Krampfadern.........1 OP war nich grad der bringer.......bei der 2. OP zeigte ich meinen Venen Pass vor und der neue Aruz sagte mir das der alte Arzt von damals nicht gut gearbeitet haette....nun gut...2. OP war mit einer rückenmaksbetaeubung....nunja...also einmal und nie wieder.....waren echt schmerzen ohne ende....zwar war unten rum alles taub...nun ja OP verlief ganz gut....zwischen 1 und 2 OP verliefen grad mal 2 jahre....2004 dann 2006 und siehe da 2008 kam wieder was zum vorschein..am selben Bein...nun ja jetz haben wir 2009 und ich werd wohl wieder mal vorbeischaun muessen und mal gucken was es diesmal soo gibt...

MFG

Service war Prima...sehr nette Krankenschwester..usw......",star-6,star-6,star-4,star-4
Klinik Am Zuckerberg,"So sollte es sein, egal ob Kasse oder Privat !
Diese Bewertung geht nicht in die Gesamtbewertung ein",12.01.2009,Plastische Chirurgie,"Ich war dort zum Fett absaugen. Ergebnis ist super!
Der Arzt war vorbildlich in der Aufklärung sowie in der Durchführung der Untersuchung und der Nachsorge!!
Die Krankenschwester war soetwas von fürsorglich , freundlich
und umsichtig. Klasse!!
Die Betreuung war rundum ideal! Danke und weiterso!!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,"Tolle Klinik in schöner Lage
Diese Bewertung geht nicht in die Gesamtbewertung ein",13.10.2008,Plastische Chirurgie,"schöne, ausreichend große Zimmer, gut ausgestattet, eher Hotelcharakter als Krankenhaus, nettes kompetentes Personal, sehr gutes Essen",star-6,star-6,star-6,star-4
